id,masculine,see_as_masculine,society_pressure_is_bad,first_move,try_pay_date,state,white,age_range,kids,straight
1,4,4,Yes,Yes,3,New York,no,3,yes,no
2,4,4,Yes,No,2,Ohio,yes,4,no,yes
3,5,3,No,Yes,3,Michigan,yes,3,no,yes
4,5,3,No,Yes,5,Indiana,yes,4,no,NA
5,5,5,Yes,No,5,Ohio,yes,3,yes,yes
6,5,4,Yes,No,5,Indiana,yes,4,no,yes
7,4,3,No,Yes,3,Hawaii,no,2,no,no
8,4,4,Yes,Yes,4,New York,yes,4,yes,yes
9,5,2,No,No,5,California,no,3,no,yes
10,4,4,No,Yes,5,Oregon,yes,3,yes,yes
11,5,4,No,Yes,5,Michigan,yes,3,no,yes
12,4,3,Yes,Yes,4,South Carolina,yes,3,yes,yes
13,5,4,No,No,3,Florida,yes,3,yes,yes
14,5,5,Yes,Yes,5,California,no,2,no,yes
15,2,2,Yes,No,1,Massachusetts,yes,2,yes,yes
16,4,4,No,Yes,NA,West Virginia,yes,4,no,yes
17,4,3,Yes,Yes,3,Minnesota,yes,3,no,no
18,4,3,Yes,No,4,Kansas,yes,3,yes,yes
19,5,4,No,No,4,Florida,yes,4,no,yes
20,4,4,No,Yes,5,California,no,3,yes,yes
21,3,4,No,Yes,3,Oregon,no,4,yes,yes
22,4,4,Yes,Yes,4,Utah,yes,3,no,yes
23,4,3,No,Yes,3,Kansas,yes,3,no,yes
24,5,4,No,No,3,Texas,yes,3,no,yes
25,5,3,No,No,4,Michigan,yes,4,yes,yes
26,4,3,Yes,Yes,5,New Jersey,yes,4,no,yes
27,3,4,Yes,Yes,5,Texas,yes,4,no,yes
28,2,2,Yes,No,1,Texas,yes,4,no,yes
29,5,4,Yes,Yes,5,New York,yes,4,no,yes
30,3,4,No,Yes,4,Utah,yes,4,yes,yes
31,4,4,No,Yes,5,Texas,yes,3,no,yes
32,4,4,Yes,Yes,3,Pennsylvania,no,2,yes,yes
33,3,3,No,Yes,5,California,yes,3,no,yes
34,4,4,Yes,No,4,Washington,yes,4,yes,yes
35,5,4,No,Yes,5,South Dakota,yes,3,no,yes
36,4,4,Yes,No,4,Minnesota,yes,3,no,yes
37,4,3,No,No,3,Washington,yes,3,no,yes
38,5,3,No,Yes,5,Arizona,yes,4,no,yes
39,3,3,Yes,No,1,South Carolina,no,3,no,yes
40,4,3,Yes,Yes,2,Washington,yes,4,no,yes
41,3,3,No,Yes,5,Washington,yes,3,yes,yes
42,4,3,Yes,Yes,3,Idaho,yes,4,no,yes
43,5,4,Yes,Yes,5,Texas,yes,3,yes,yes
44,5,5,Yes,No,5,Texas,yes,4,no,yes
45,4,2,No,Yes,1,Florida,yes,4,no,yes
46,3,3,No,Yes,5,Oregon,yes,4,no,yes
47,3,3,Yes,Yes,4,Michigan,yes,2,no,yes
48,5,4,No,Yes,5,Oregon,yes,4,no,yes
49,4,4,Yes,Yes,5,Oregon,yes,3,yes,yes
50,3,4,Yes,Yes,4,Florida,no,2,yes,yes
51,4,3,Yes,Yes,4,Washington,yes,4,no,yes
52,5,4,No,No,1,Ohio,yes,3,yes,no
53,4,2,No,Yes,5,Washington,yes,4,no,yes
54,4,3,Yes,Yes,4,Washington,yes,3,no,yes
55,4,3,No,Yes,4,Massachusetts,yes,3,no,yes
56,4,3,No,No,5,Oregon,yes,3,yes,yes
57,5,3,No,Yes,5,Washington,yes,4,no,yes
58,5,3,Yes,Yes,3,Oregon,yes,4,no,yes
59,4,4,Yes,No,4,Oregon,yes,4,no,yes
60,5,5,No,No,5,Missouri,yes,3,yes,yes
61,5,5,Yes,No,4,Washington,yes,4,no,yes
62,5,2,Yes,No,1,Washington,yes,4,no,yes
63,3,4,Yes,Yes,4,California,yes,2,yes,yes
64,3,4,Yes,Yes,4,Georgia,yes,3,no,yes
